scenario,question
宽带新装,办理宽带新装需要客户提供哪些证件？
宽带新装,客户想新装500M宽带，营业员的标准受理流程是什么？
宽带新装,新装宽带提示该地址无资源怎么处理？
宽带新装,客户新装宽带后投诉实测速率达不到办理档位，营业员应如何排查？
宽带新装,客户预存2000元装500M宽带承诺24个月，使用6个月后要求拆机退费，怎么处理？
套餐升值,套餐升值后合约期如何计算？
套餐升值,客户咨询套餐升级有哪些优惠政策，营业员应如何介绍？
套餐升值,客户想升值套餐但有现行合约未到期，怎么处理？
套餐升值,客户升值后反悔，想退回原套餐，怎么处理？
套餐升值,客户原是单宽用户想升级到融合套餐，整体办理流程是什么？
单宽转融,什么是单宽转融？
单宽转融,客户单宽转融的标准受理流程是什么？
单宽转融,客户单宽合约未到期，能否办理转融？
单宽转融,单宽转融遇到系统提示号码不可绑定，怎么处理？
单宽转融,客户单宽转融后发现新套餐反而比单宽贵，怎么解释和处理？
宽带拆挽,客户来电要求拆机，营业员的标准应对步骤是什么？
宽带拆挽,客户因费用过高要求拆机，营业员应如何挽留？
宽带拆挽,高值客户提出拆机，营业员应优先采取什么策略？
宽带拆挽,客户在合约期内要求拆机，营业员应如何处理？
宽带拆挽,客户接受挽留后又反悔再次要求拆机，怎么处理？
单卡加宽,什么是单卡加宽？
单卡加宽,客户单卡加宽的标准受理流程是什么？
单卡加宽,客户想加宽但现住址无电信宽带资源，怎么办？
单卡加宽,单卡客户家中地址与移动号码归属地不一致怎么办？
单卡加宽,单卡加宽营业员推荐时应重点强调什么卖点？
移动新装,办理移动新装需要客户提供哪些证件？
移动新装,一证最多可办理多少张电信移动卡？
移动新装,客户来办理移动新装，营业员的标准受理流程是什么？
移动新装,客户希望选择靓号入网，需要满足什么条件？
移动新装,客户新装时希望绑定家中已有宽带，怎么办理？
高值保有,高值客户的常见识别标准有哪些？
高值保有,高值客户合约到期前的标准维系流程是什么？
高值保有,高值客户来电反馈套餐贵想降档，营业员应如何应对？
高值保有,高值客户提出拆机时营业员的优先动作是什么？
高值保有,高值客户主动询问竞品套餐，营业员应如何应对？
携号转网,携号转网入网电信需要客户提供哪些证件？
携号转网,查询号码是否可携入电信的方式？
携号转网,客户来办理携号转入电信，标准流程是什么？
携号转网,客户号码有未到期合约，能携号转网吗？
携号转网,携号转网当天客户反馈打不出电话，怎么排查？
降档压降,客户提出降档时营业员的标准应对步骤是什么？
降档压降,客户因费用过高要求降档，营业员应如何应对？
降档压降,高值客户提出降档时优先策略是什么？
降档压降,客户合约期内能否办理降档？
降档压降,客户坚决要求最低套餐，营业员应如何收尾？
合约终端,存费送机和橙分期的区别是什么？
合约终端,合约期内拆机的违约金如何计算？
合约终端,客户来办理合约购机，营业员的标准受理流程是什么？
合约终端,客户购机后发现机器有质量问题，怎么处理？
合约终端,合约终端客户中途想转出携号转网，怎么办？
eSIM,什么是eSIM？
eSIM,办理eSIM需要客户提供什么资料？
eSIM,客户办理eSIM副卡的标准受理流程是什么？
eSIM,客户已有实体卡想加办eSIM副卡，怎么办？
eSIM,eSIM副卡套餐与主卡的流量共享规则是什么？
入网规范,新入网客户实名认证的标准是什么？
入网规范,一证多卡的上限规定是多少？
入网规范,代办入网的标准手续是什么？
入网规范,入网时客户拒绝人脸识别，能否办理？
入网规范,营业员发现客户冒用他人身份证入网应如何处理？
用户服务,客户来咨询业务，营业员的标准接待规范是什么？
用户服务,客户情绪激动时营业员应如何应对？
用户服务,客户来咨询账单异议，营业员的处理流程是什么？
用户服务,客户提出投诉，营业员的现场处理步骤是什么？
用户服务,老人、残障客户来办理业务的优先服务规范是什么？
智能组网及FTTR,什么是FTTR？
智能组网及FTTR,FTTR的常见套餐档位和费用是什么？
智能组网及FTTR,客户来办理FTTR，营业员的标准受理流程是什么？
智能组网及FTTR,客户家中已有路由器，FTTR还需要吗？
智能组网及FTTR,客户家中户型大且有多层别墅，推荐什么组网方案？
AI+业务,中国电信的AI+业务主要包含哪些产品？
AI+业务,天翼看家的主要使用场景是什么？
AI+业务,客户来办理天翼看家，营业员的标准受理流程是什么？
AI+业务,客户咨询AI产品能解决什么实际问题，营业员应如何介绍？
AI+业务,客户反映天翼看家无法连接WiFi，怎么排查？
员工培训,新员工入职培训的基本内容有哪些？
员工培训,员工业务考核的合格标准是什么？
员工培训,新业务上线前员工培训的标准节奏是什么？
员工培训,员工处理投诉的标准话术培训内容有哪些？
员工培训,员工合规红线培训的核心内容有哪些？
安全反诈,电信行业常见的诈骗类型有哪些？
安全反诈,营业员发现客户疑似被诈骗时应如何应对？
安全反诈,客户来办理大额转账类业务时营业员的反诈核实步骤是什么？
安全反诈,客户来要求新办多张副卡用于商业用途，如何核实？
安全反诈,老年客户反诈宣传的重点话术是什么？
爱心翼站,什么是爱心翼站？
爱心翼站,爱心翼站的服务对象有哪些？
爱心翼站,老年客户来办理智能手机使用咨询，营业员如何引导？
爱心翼站,听障客户来办理业务时营业员如何沟通？
爱心翼站,客户在爱心翼站突发身体不适，应急处理流程是什么？
